Escola,Endereco,Latitude,Longitude
EEFM GENERAL MURILO BORGES MOREIRA,"RUA DO ENTARDECER 90 - VICENTE PINZON, Fortaleza, Ceará, Brasil",-3.7274971,-38.4748126
EEFM NOEL HUGNEN DE OLIVEIRA PAIVA,"RUA MONSENHOR SALAZAR 279 - SAO JOAO DO TAUAPE, Fortaleza, Ceará, Brasil",-3.7561915,-38.517398
EEM PROFESSOR OTÁVIO TERCEIRO DE FARIAS,"AV. C 435 - JOSE WALTER, Fortaleza, Ceará, Brasil",-3.8293846,-38.5557003
EEFM PROFESSOR PAULO AYRTON DE ARAÚJO,"AV. FREI CIRILO BR 116 800 - CAJAZEIRAS, Fortaleza, Ceará, Brasil",-3.816577,-38.4977887
EEM DEPUTADO PAULO BENEVIDES,"RUA ANGELICA GURGEL 186 - MESSEJANA, Fortaleza, Ceará, Brasil",-3.8351948,-38.499857
EEFM ARQUITETO ROGÉRIO FROES,"AVENIDA DAS GRAVIOLAS 1000 - CIDADE 2000, Fortaleza, Ceará, Brasil",-3.7518076,-38.4721134
EEFM ALMIRANTE TAMANDARÉ,"RUA MANDACARÚ 1048 - JANGURUSSU, Fortaleza, Ceará, Brasil",-3.8382127,-38.5167303
EEM PROFESSORA TECLA FERREIRA,"RUA FCA BEZERRA 417 - LAGOA REDONDA, Fortaleza, Ceará, Brasil",,
EEFM VISCONDE DO RIO BRANCO,"AVENIDA DOM MANUEL 1803 - CENTRO, Fortaleza, Ceará, Brasil",,
EEFM DOUTORA ALDACI BARBOSA,"AV VALPARAISO 155 - JANGURUSSU, Fortaleza, Ceará, Brasil",-3.8499131,-38.5093887
EEFM PADRE MARCELINO CHAMPAGNAT,"RUA DAUREA 120 - BARROSO, Fortaleza, Ceará, Brasil",,
EEFM GOVERNADOR LUIZ GONZAGA DA FONSECA MOTA,"R SANTA ROSA 407 - COACU, Fortaleza, Ceará, Brasil",-3.84578,-38.4744817
EEE´COMENDADOR MIGUEL GURGEL,"RUA JOSE BAIMA 340 - GUAJERU, Fortaleza, Ceará, Brasil",-3.8310759,-38.4818879
EEF INSTITUTO DOS CEGOS,"RUA DR JOAO GUILHERME 373 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7375945,-38.5883111
EEFM ANTONIO DIAS MACÊDO,"AV. PEDRO DANTAS 340 - DIAS MACEDO, Fortaleza, Ceará, Brasil",,
EEFM POETA OTACÍLIO COLARES,"RUA JORGE DA VEIGA 265 - ANCURI, Fortaleza, Ceará, Brasil",,
LICEU DE MESSEJANA,"AV WASHINGTON SOARES 7702 - MESSEJANA, Fortaleza, Ceará, Brasil",-3.8262821,-38.4816911
EEFM JOÃO NOGUEIRA JUCÁ,"RUA JOSE FELIX DE LIMA 313 - EDSON QUEIROZ, Fortaleza, Ceará, Brasil",-3.7903651,-38.4715116
EEEP MARIA ANGELA DA SILVEIRA BORGES,"RUA: PINTOR ANTONIO BANDEIRA, SN - PRAIA DO FUTUDO, Fortaleza, Ceará, Brasil",,
EEEP MÁRIO ALENCAR,"RUA VERDE 44 97 - JANGURUSSU, Fortaleza, Ceará, Brasil",-3.8551247,-38.5088278
EEFM PROFESSORA ADALGISA BONFIM SOARES,"AVENIDA DA PENETRACAO OESTE 150 - CONJUNTO ESPERANCA, Fortaleza, Ceará, Brasil",,
EEM GOVERNADOR ADAUTO BEZERRA,"RUA MONS LIBERATO 1850 - FATIMA, Fortaleza, Ceará, Brasil",-3.7500191,-38.5315462
EEFM ANÍSIO TEIXEIRA,"RUA RIO GRANDE DO SUL 680 - PAN AMERICANO, Fortaleza, Ceará, Brasil",-3.754432,-38.565311
INSTITUTO DE EDUCAÇÃO DO CEARÁ,"GRACILIANO RAMOS 52 - FATIMA, Fortaleza, Ceará, Brasil",-3.7524123,-38.5316583
EEFM PROFESSORA DIVA CABRAL,"RUA HOLANDA 701 - MARAPONGA, Fortaleza, Ceará, Brasil",-3.7938257,-38.5652913
EEFM PROFESSOR EDMILSON GUIMARÃES DE ALMEIDA,"RUA 1074 0 - CONJUNTO CEARA II, Fortaleza, Ceará, Brasil",-3.7684863,-38.6145336
EEFM DONA JÚLIA ALVES PESSOA,"RUA SÃO FRANCISCO SN - BOM JARDIM, Fortaleza, Ceará, Brasil",-3.8002963,-38.5978759
EEFM ESTADO DO MARANHÃO,"RUA CARLOS PIMENTA 506 - MONDUBIM, Fortaleza, Ceará, Brasil",-3.8148085,-38.5741964
EEFM ESTADO DO PARANÁ,"RUA ALBERTO MAGNO 123 - BOM FUTURO, Fortaleza, Ceará, Brasil",-3.7574825,-38.5431414
EEEP JOAQUIM MOREIRA DE SOUSA,"RUA CAIO PRADO 2 - PARANGABA, Fortaleza, Ceará, Brasil",-3.7728911,-38.5640034
EEFM JOSÉ LEOPOLDINO DA SILVA FILHO,"RUA 448 E S/N - CONJUNTO CEARA I, Fortaleza, Ceará, Brasil",-3.7614201,-38.606162
EEFM PROFESOR JOCIÊ CAMINHA DE MENEZES,"RUA ITU 120 - BOM JARDIM, Fortaleza, Ceará, Brasil",-3.7863339,-38.6015367
EEEP PROFESSOR CÉSAR CAMPELO,"RUA 717 164 - CONJUNTO CEARÁ III, Fortaleza, Ceará, Brasil",,
EEEP PROFESSOR ONÉLIO PORTO,"AVENIDA E 471 - JOSE WALTER, Fortaleza, Ceará, Brasil",-3.8342741,-38.5580185
EEFM PROFESSOR PLÁCIDO ADERALDO CASTELO,"RUA 719 100 - CONJUNTO CEARA II, Fortaleza, Ceará, Brasil",-3.7716374,-38.6016718
EEFM SENADOR OSIRES PONTES,"RUA DIVINA 150 - CANINDEZINHO, Fortaleza, Ceará, Brasil",,
EEFM JOÃO MATTOS,"RUA ALMIRANTE RUBIM 1014 - MONTESE, Fortaleza, Ceará, Brasil",-3.7667966,-38.5554387
EEFM DEPUTADO JOACI PEREIRA,"RUA PROFESSOR PEDRO JORGE 830 - PLANALTO AYRTON SENNA, Fortaleza, Ceará, Brasil",-3.8329271,-38.5680454
EEFM ESTADO DO AMAZONAS,"RUA MONSENHOR FURTADO 2327 - BELA VISTA, Fortaleza, Ceará, Brasil",-3.7561772,-38.5576497
EEFM SENADOR FERNANDES TÁVORA,"RUA GOIAS 141 - DEMOCRITO ROCHA, Fortaleza, Ceará, Brasil",-3.7608971,-38.5677112
